ActivityID,WBS,ActivityName,Stage,Workstream,DurationDays,Predecessors,Relationship,LagDays,EarlyStart,EarlyFinish,LateStart,LateFinish,TotalFloat,Critical,Owner,EstimatedCost,Deliverable,AcceptanceCriterion
A26,5.6,Tracking end-to-end test,A,Tracking,2,A25|M3,FS,0,40,42,40,42,0,YES,Interon Dev/Tech,,Test results,Test lead captured end-to-end
M4,5.9,MILESTONE: Tracking approved (GATE),A,Tracking,0,A26,FS,0,42,42,42,42,0,YES,Interon Project Lead,,Tracking gate,Tracking tested and confirmed
A33,7.1b,Campaign build,A,Paid Search,3,A32|M4,FS,0,42,45,42,45,0,YES,Interon Paid Media,,Built campaigns,Campaigns built with conversions
M6,7.9,MILESTONE: Campaigns approved,A,Paid Search,0,A33|A34,FS,0,45,45,45,45,0,YES,PropFlo Sponsor,,Campaign gate,Campaigns approved and verified
A37,9.1,Pre-launch testing (form/tracking/technical),A,Testing,3,M3|M4|M5|M6,FS,0,45,48,45,48,0,YES,Interon + PropFlo,,Test report,All launch tests pass
A38,9.4,Launch checklist sign-off,A,Testing,1,A37,FS,0,48,49,48,49,0,YES,Interon + PropFlo,,Signed checklist,Checklist signed
M7,10.0,MILESTONE: Controlled Campaign Launch (Stage B Day 0),A,Launch,0,A38|A35|A36,FS,0,49,49,49,49,0,YES,Interon Paid Media,,Launch,Campaign live; tracking live
B0,10.0,MILESTONE: Launch (Day 0),B,Live,0,-,FS,0,0,0,0,0,0,YES,Interon Paid Media,,Go-live,Campaign live
B1,10.1,Live running & initial technical monitoring (wk1),B,Live,7,B0,FS,0,0,7,0,7,0,YES,Interon Paid Media,,Wk1 monitoring,Daily checks; disapprovals cleared
B8,11.1,Search-term & negative optimisation (continuous),B,Optimise,90,B0,FS,0,0,90,0,90,0,YES,Interon Paid Media,,Optimisation log,Weekly negatives applied
B9,11.2,Landing page & ad-copy optimisation,B,Optimise,90,B0,FS,0,0,90,0,90,0,YES,Interon Paid Media,,CRO log,A/B tests run
B10,11.3,SEO content execution,B,SEO,90,B0,FS,0,0,90,0,90,0,YES,Interon Content/SEO,,Published content,Content published per calendar
B11,11.4,Partner outreach & LinkedIn B2B,B,Partner,90,B0,FS,0,0,90,0,90,0,YES,Interon Strategy,,Outreach log,Partner pipeline built
B12,11.5,Email & WhatsApp nurture,B,CRM,90,B0,FS,0,0,90,0,90,0,YES,PropFlo Sales + Interon,,Nurture flows,Consent-based nurture live
MB7,10.7,MILESTONE: Day 7 technical & search-term review,B,Review,0,B1,FS,0,7,7,7,7,0,YES,Interon Paid Media,,Day7 review,First negatives; technical fixes
B2,10.2,Live running to Day 14,B,Live,7,MB7,FS,0,7,14,7,14,0,YES,Interon Paid Media,,Wk2 running,Continued optimisation
MB14,10.14,MILESTONE: Day 14 lead-quality review,B,Review,0,B2,FS,0,14,14,14,14,0,YES,Interon + PropFlo Sales,,Day14 review,Lead relevance assessed
B3,10.3,Live running to Day 30,B,Live,16,MB14,FS,0,14,30,14,30,0,YES,Interon Paid Media,57000,Month1 running,Ongoing optimisation
MB30,10.30,MILESTONE: Day 30 performance review,B,Review,0,B3,FS,0,30,30,30,30,0,YES,Interon + PropFlo,,Day30 review,Month-1 report; CPQL read
B4,10.4,Live running to Day 45,B,Live,15,MB30,FS,0,30,45,30,45,0,YES,Interon Paid Media,,To Day45,Mid-period tuning
B13,11.6,Meta retargeting activation (traffic-gated),B,Paid Social,60,MB30,FS,0,30,90,30,90,0,YES,Interon Paid Media,,Retargeting live,Starts once traffic sufficient (~Day30)
MB45,10.45,MILESTONE: Day 45 optimisation checkpoint,B,Review,0,B4,FS,0,45,45,45,45,0,YES,Interon Paid Media,,Day45 checkpoint,Optimisation actions logged
B5,10.5,Live running to Day 60,B,Live,15,MB45,FS,0,45,60,45,60,0,YES,Interon Paid Media,64500,Month2 running,Channel review prep
MB60,10.60,MILESTONE: Day 60 performance & channel review,B,Review,0,B5,FS,0,60,60,60,60,0,YES,Interon + PropFlo,,Day60 review,Month-2 report; channel decisions
B6,10.6,Live running to Day 75,B,Live,15,MB60,FS,0,60,75,60,75,0,YES,Interon Paid Media,,To Day75,Scale-readiness prep
MB75,10.75,MILESTONE: Day 75 scale-readiness checkpoint,B,Review,0,B6,FS,0,75,75,75,75,0,YES,Interon + PropFlo,,Day75 checkpoint,Scale-readiness assessed
B7,10.7b,Live running to Day 90,B,Live,15,MB75,FS,0,75,90,75,90,0,YES,Interon Paid Media,72000,Month3 running,Final period
MB90,10.90,MILESTONE: Day 90 formal scale decision,B,Review,0,B7,FS,0,90,90,90,90,0,YES,Interon + PropFlo Sponsor,,Day90 decision,Scale/maintain/restructure decided
